customer_id,first_name,last_name,email,phone,country,state,city,postal_code,customer_segment,registration_date,last_purchase_date,is_active
1,Angel,Hill,donaldgarcia@example.net,+1-219-560-0133,Saint Barthelemy,Tennessee,Robinsonshire,36964,Budget,2023-12-22,2025-08-28,1
2,Linda,Wolfe,joshua35@example.org,361-855-9407,Belgium,Oklahoma,Mariastad,76175,Premium,2022-01-28,2022-11-03,1
3,Donna,Mejia,wyattmichelle@example.com,575-425-5341x928,Kyrgyz Republic,Missouri,Veronicaside,29286,Premium,2022-04-07,2024-11-10,1
4,Kimberly,Perez,trujillorichard@example.org,495.537.6724,Samoa,Oklahoma,Juliechester,76985,Premium,2024-07-31,2025-03-03,1
5,Whitney,Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Seychelles,Tennessee,Danielchester,21231,Budget,2022-09-18,2024-03-24,1
6,Nancy,Baker,williamrodriguez@example.net,289-332-5288x0957,Vanuatu,Mississippi,Johnbury,74865,Budget,2024-11-30,2025-12-29,0
7,Todd,Jones,davidalvarez@example.net,(848)796-3834,Kazakhstan,North Dakota,Martinezbury,08893,Premium,2022-04-24,2023-07-30,1
8,Jerry,Robinson,zimmermanbrian@example.org,4519834738,Ecuador,New Mexico,Leeville,86875,Premium,2023-10-27,2024-10-13,1
9,Stuart,Daniel,brownjessica@example.org,933.587.2624,Tunisia,California,Mortonside,13334,Premium,2023-04-29,2023-06-18,1
10,Mary,Novak,gabrieltucker@example.org,(502)660-6474x6872,Cuba,Arkansas,Lake Leeton,77070,Budget,2025-01-19,2025-07-12,1
11,Amanda,Brown,yorkcasey@example.org,+1-736-619-3990x91699,Costa Rica,Texas,Johnfurt,17655,Budget,2024-10-23,2025-08-24,0
12,Leslie,Walton,smithchristine@example.net,518-738-4251,Finland,Hawaii,Bassport,80674,Premium,2022-12-15,2026-01-02,0
13,Allison,Contreras,sarah12@example.com,518-624-4935,Madagascar,New York,Rebeccaton,12598,Budget,2024-06-22,2025-06-23,1
14,Bradley,Cook,danagreen@example.net,486.880.1128x059,Brunei Darussalam,Arizona,Michaelton,47399,Premium,2024-07-17,2024-11-10,1
15,Curtis,Deleon,vdickson@example.org,622.460.2563,Solomon Islands,Vermont,South Monicafort,29655,Budget,2022-10-21,2023-06-15,0
16,Michael,Hoover,jeffreykeller@example.com,641-245-8685x01429,Botswana,Rhode Island,Reedmouth,57700,Standard,2024-10-22,2025-07-25,1
17,Paul,Ray,bradley60@example.net,+1-635-661-5951,Papua New Guinea,Nebraska,Richardport,73168,Premium,2023-08-04,2023-11-26,1
18,Shelby,Byrd,christinaturner@example.net,9449369957,Peru,Indiana,Leonburgh,86857,Standard,2023-04-26,2023-07-19,1
19,Cynthia,Rogers,emilywalker@example.org,(500)837-9176,Lithuania,Montana,East Diana,01227,Premium,2023-08-08,2025-10-16,0
20,Nicole,Osborne,gregoryrubio@example.net,908.831.7278x895,Switzerland,Oklahoma,Merrittfort,59492,Premium,2024-08-20,2025-01-01,1
21,Dana,Cannon,rsims@example.com,443-545-5812,Hungary,Vermont,Lake Jason,54878,Standard,2022-10-18,2024-02-15,1
22,Robert,Clark,xprice@example.net,001-509-967-0546x688,Cyprus,Louisiana,Tuckerfurt,44558,Premium,2023-09-07,2025-04-08,0
23,Jennifer,Pittman,tinaferguson@example.com,001-690-816-2720,Greece,Indiana,Murphyfurt,36972,Budget,2024-06-12,2025-08-28,1
24,Johnny,Miller,currybrett@example.com,510.403.3092,Lebanon,Texas,New Staciemouth,92181,Standard,2024-07-19,2024-12-07,1
25,Catherine,Stuart,stricklandfrank@example.com,590-349-6631,Qatar,Wyoming,Melissaville,74678,Budget,2023-02-28,2025-06-05,1
26,Ross,Wood,alexander67@example.org,(657)726-2849x87769,Timor-Leste,Kansas,West Nicolebury,98867,Budget,2023-02-05,2024-06-21,1
27,Nicholas,Johnson,hunter35@example.com,949-948-0831x36783,Kiribati,Alaska,West Jeffreybury,40636,Budget,2023-11-20,2025-04-29,1
28,Angela,Cooper,michael74@example.com,631-335-1823x374,Syrian Arab Republic,Illinois,Jeremyburgh,40119,Budget,2023-03-01,2023-03-15,1
29,Joshua,Mccann,heidi27@example.org,6949777520,Brazil,California,Vasquezshire,83003,Premium,2023-08-28,2025-04-21,1
30,Lisa,Avery,mcknightdavid@example.com,+1-299-338-6774x964,Yemen,Wisconsin,Lake Jason,87064,Standard,2022-07-06,2022-10-19,1
31,Andrea,Moore,mhayes@example.com,503-444-7134x9361,United States of America,Louisiana,North Brian,40820,Premium,2022-10-10,2024-09-22,1
32,Samantha,Gonzales,sbarker@example.com,288-377-1906x594,Denmark,Utah,Port Emilyview,76030,Standard,2024-07-11,2024-08-02,1
33,Thomas,Pearson,howard96@example.net,817.256.5512x5674,Korea,Colorado,Johnnyville,53477,Standard,2024-04-28,2025-10-27,1
34,Aaron,Booth,mgutierrez@example.net,(397)270-3482x477,Norfolk Island,Rhode Island,Lake Eric,72700,Premium,2024-07-12,2024-07-19,1
35,Jeffrey,Skinner,murraydavid@example.org,448.346.7737x8263,Falkland Islands (Malvinas),Wyoming,Morganhaven,35519,Standard,2023-04-12,2025-07-22,1
36,Kenneth,Matthews,cgrimes@example.net,855.288.6753x3963,Ghana,West Virginia,Thorntonfurt,51105,Budget,2022-11-26,2026-01-07,1
37,Denise,Hernandez,martineztammy@example.com,371-987-0262,Slovenia,Kentucky,Cindyfurt,85676,Budget,2024-06-06,2024-07-23,1
38,Emily,Ferguson,courtney78@example.org,+1-213-243-1611x724,Greece,Arkansas,Michaelchester,19581,Budget,2023-01-15,2023-10-11,1
39,Erin,White,christianpitts@example.net,+1-437-392-3747x40748,Kenya,Minnesota,Daniellechester,90981,Budget,2023-04-17,2023-12-25,1
40,James,Cruz,yrodriguez@example.net,(694)540-6409x097,New Caledonia,Minnesota,Lake James,33351,Premium,2024-08-03,2025-08-01,0
41,Donna,Massey,bergerdebbie@example.com,709.652.1456x232,Switzerland,Hawaii,Robinfort,39185,Standard,2024-03-20,2025-08-03,1
42,Darius,Mccarty,karenperez@example.net,001-868-751-6048x1754,Botswana,Utah,South Angel,74085,Budget,2023-01-26,2024-01-18,1
43,Deborah,Reid,tblankenship@example.net,(712)800-4711x38267,Namibia,West Virginia,South Diana,64640,Budget,2023-11-20,2025-03-22,1
44,Joshua,Vaughn,scottsampson@example.com,958-350-6431,Panama,Indiana,North Kristinbury,17006,Premium,2024-11-14,2025-10-20,1
