supplier_id,supplier_name,contact_person,email,phone,country,city,address,payment_terms,lead_time_days,is_active,registration_date
1,Rodriguez Group,Nancy Rivera,erica45@bailey.net,896.826.5813,Burundi,Jonathanberg,"744 Amber Vista Suite 351
East Jerome, AS 76794",Net 45,27,1,2024-02-25
2,Frazier Ltd,Adam Clark,heatherdelacruz@jordan-gillespie.com,001-494-793-4670x350,Somalia,New Franciscomouth,"92469 Julie Spur Apt. 722
Port Tiffany, MO 07413",Net 60,27,1,2022-08-30
3,Smith-Hoover,Mr. Jeffrey Melton,perkinsrobert@barton.com,+1-691-249-7552,United Kingdom,Port Nicholasstad,"02986 Villa Plain
Hornshire, IA 08376",Net 30,16,1,2021-07-23
4,Henderson LLC,Daniel Ware,jamesantonio@bowers.com,631-442-4012,Australia,Codyside,"51415 Christy Forest
Philipfurt, MI 15727",Net 45,20,1,2023-10-18
5,"Martin, Rodriguez and Rodriguez",Daniel Smith,vthompson@goodman-leonard.com,(498)311-0998,Algeria,East Nathan,"898 Graham Greens Suite 196
Arnoldtown, VA 83888",Net 30,12,1,2023-02-13
6,Foster-Williams,Jacqueline Sheppard,kimberly79@rosario-crawford.com,729.456.6890x99226,Saudi Arabia,North Timothymouth,"216 Randy Mall Suite 750
Lake Robertfurt, ME 75248",Net 60,7,1,2020-06-18
7,Montes-Miller,Jordan Clark,nicolewright@perry.com,001-991-234-4997x680,Brunei Darussalam,Christopherville,"0661 Perry Vista Apt. 424
Markstad, NJ 14827",Net 45,20,1,2020-04-14
8,"Sheppard, Hutchinson and Parker",John Nguyen,asteele@martin.com,6815237371,Portugal,Port Dawnton,"02868 Cheryl Grove Suite 203
Matthewburgh, PA 68332",Net 60,21,1,2022-10-23
9,Hansen-Smith,Jocelyn Farley,kimberly75@mcmillan.net,001-985-407-4928,Lebanon,Rhodesside,"33421 Lopez River Suite 122
Justinborough, SD 56982",Net 60,22,1,2024-11-22
10,Soto-Harris,Jennifer Cole,kyle71@douglas.com,921.229.3638x012,Tanzania,South Jonshire,"1210 Jennifer Bridge
Lake Jennifer, MO 18765",Net 45,8,1,2021-01-05
11,Gomez PLC,Tara Jackson,collinsderrick@robinson.org,001-493-529-9106,Jersey,New Melissastad,"6185 Roberson Plains
Rachelbury, MN 98094",Net 45,22,1,2022-05-15
12,Fox PLC,Crystal Henderson,petersbrittany@smith.info,214-491-1886x71826,Togo,Susanport,"5155 Austin Light
Wendyberg, AZ 38614",Net 45,28,1,2024-04-07
13,Mcguire Group,Brandon Allen,yharris@bryant.org,(452)683-9004x89145,Russian Federation,Phamview,"595 Mark Flats
New Henryberg, VT 90053",Net 30,19,1,2020-06-04
14,"Guzman, Weber and Miller",Heather Rodgers,aaron07@roy.com,815.994.4183,Ghana,Jordanchester,"29247 Warner Street
Chenstad, OR 70916",Net 30,20,1,2021-10-05
15,"Alvarado, Brown and Murray",Michael Sanchez,kpope@walters-hicks.biz,567.735.2549,Kyrgyz Republic,Douglasbury,"4145 John Motorway Suite 585
Kristophermouth, NH 74195",Net 45,20,1,2023-04-21
16,"Glover, Shaw and Howard",Todd Moran,jameskimberly@ross-fitzpatrick.com,(586)252-4427x245,Falkland Islands (Malvinas),Elizabethview,"0641 Murray Forks Suite 642
Johnsonfort, UT 04943",Net 60,19,1,2022-12-25
17,"Collins, Nelson and Lee",Paul Craig,hartmegan@williams.info,611-382-4273,Greenland,Lake Taylormouth,"4239 Fitzpatrick Brook Apt. 245
Andrewhaven, HI 74576",Net 60,21,1,2022-05-21
18,Randolph-Berry,Sharon Allen,martincassandra@mack.com,(280)377-9272,Guernsey,New Joshuaview,"43213 Navarro Rue Suite 797
North Michaelstad, IA 91291",Net 30,18,1,2020-05-25
19,James and Sons,Parker Ward,bradythomas@west-valencia.com,(213)783-4802x3616,Armenia,Port Jennifer,"1941 Dennis Shoal
East Ryan, CA 33500",Net 60,24,1,2023-03-21
